ind	loc	latitude	longitude	pop	geo.clust
PA1492	P0277	56.959	16.4053	SSD	GC58
PA1504_1	P0279	57.651	14.8044	SSD	GC59
PA1505_1	P0279	57.651	14.8044	SSD	GC59
PA1623_1	P0249	57.6627	-2.3748	SCO	GC60
PA1625_1	P0249	57.6627	-2.3748	SCO	GC60
PA1629_1	P0250	57.634	-3.5668	SCO	GC61
PA1642_1	P0252	57.5949	-4.4213	SCO	GC62
PA1645_1	P0252	57.5949	-4.4213	SCO	GC62
PA1713_1	P0361	56.4287	-5.2362	SCO	GC63
PA1715_1	P0361	56.4287	-5.2362	SCO	GC63
PA1719_1	P0362	55.9195	-4.3345	SCO	GC64
PA1736a_1	P0412	56.0444	-4.3727	SCO	GC65
PA1736b_1	P0412	56.0444	-4.3727	SCO	GC65
PA1749_1	P0319	42.67566	-2.40631	ESP	GC66
PA1751_1	P0319	42.67566	-2.40631	ESP	GC66
PA2001_1	Rue	48.5654	9.1581	GER	GC67
PA2002_1	Rue	48.5654	9.1581	GER	GC67
WaCo9	Waginengen	51.96	5.69	BNE	GC68
