ind	loc	latitude	longitude	pop	Bio01	Bio02	Bio03	Bio04	Bio05	Bio06	Bio07	Bio08	Bio09	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
PA0695_1	P0079	48.3272	14.7151	CSA	7.441666667660077	8.233333180348078	30.158729914406216	698.3416532637873	19.899999618530273	-7.400000095367432	27.299999713897705	15.883333365122477	-1.25	15.883333365122477	-1.25	838	117	46	32.22600279851548	311	152	311	152
PA0708_1	P0171	41.8279	25.687	BAL	12.491666582102576	11.499999867131313	34.0236680539536	807.1775413281206	28.100000381469727	-5.699999809265137	33.80000019073486	7.833333392937978	21.66666618982951	22.433333079020183	2.5333333611488342	573	65	32	21.391439604732525	177	102	120	157
PA0711_1	P0171	41.8279	25.687	BAL	12.491666582102576	11.499999867131313	34.0236680539536	807.1775413281206	28.100000381469727	-5.699999809265137	33.80000019073486	7.833333392937978	21.66666618982951	22.433333079020183	2.5333333611488342	573	65	32	21.391439604732525	177	102	120	157
PA0724a_1	P0173	41.5379	24.9775	BAL	10.18333331743876	11.483333269755045	35.885417002718896	731.2763807344334	24.899999618530273	-7.099999904632568	31.999999523162842	2.733333468437195	18.63333336512248	19.11666663487752	1.3000000317891438	624	71	33	22.266767296920445	186	110	138	174
PA0733_1	P0175	41.6194	23.9374	BAL	8.816666673868895	11.083333271245161	36.102062997082676	711.5358892029416	23	-7.699999809265137	30.699999809265137	12.26666671037674	14.21666661898295	17.49999984105428	0.20000004768371582	591	64	33	19.109094120345606	183	113	151	145
PA0736_1	P0175	41.6194	23.9374	BAL	8.816666673868895	11.083333271245161	36.102062997082676	711.5358892029416	23	-7.699999809265137	30.699999809265137	12.26666671037674	14.21666661898295	17.49999984105428	0.20000004768371582	591	64	33	19.109094120345606	183	113	151	145
PA0736_2	P0175	41.6194	23.9374	BAL	8.816666673868895	11.083333271245161	36.102062997082676	711.5358892029416	23	-7.699999809265137	30.699999809265137	12.26666671037674	14.21666661898295	17.49999984105428	0.20000004768371582	591	64	33	19.109094120345606	183	113	151	145
PA0745_1	P0177	41.5869	23.5561	BAL	8.391666716895998	10.566666788732013	35.94104338250328	697.8858810340535	22	-7.400000095367432	29.40000009536743	11.816666732231775	13.733333428700766	16.8166667620341	-0.0666666825612386	608	67	37	19.077187387329797	194	124	159	137
PA0877_1	P0080	48.332	14.7157	CSA	7.441666667660077	8.233333180348078	30.158729914406216	698.3416532637873	19.899999618530273	-7.400000095367432	27.299999713897705	15.883333365122477	-1.25	15.883333365122477	-1.25	838	117	46	32.22600279851548	311	152	311	152
PA0878_1	P0080	48.332	14.7157	CSA	7.441666667660077	8.233333180348078	30.158729914406216	698.3416532637873	19.899999618530273	-7.400000095367432	27.299999713897705	15.883333365122477	-1.25	15.883333365122477	-1.25	838	117	46	32.22600279851548	311	152	311	152
PA0883_1	P0080	48.332	14.7157	CSA	7.441666667660077	8.233333180348078	30.158729914406216	698.3416532637873	19.899999618530273	-7.400000095367432	27.299999713897705	15.883333365122477	-1.25	15.883333365122477	-1.25	838	117	46	32.22600279851548	311	152	311	152
PA0884_1	P0080	48.332	14.7157	CSA	7.441666667660077	8.233333180348078	30.158729914406216	698.3416532637873	19.899999618530273	-7.400000095367432	27.299999713897705	15.883333365122477	-1.25	15.883333365122477	-1.25	838	117	46	32.22600279851548	311	152	311	152
PA0885_1	P0081	48.4264	15.57	CSA	8.979166780908903	7.391666501760483	26.68471679659762	728.0249187543764	22	-5.699999809265137	27.699999809265137	17.916666984558105	0.05000003178914388	17.916666984558105	0.05000003178914388	588	87	23	44.48493105433671	240	80	240	80
PA0891_1	P0082	49.2773	16.63	CSA	7.862499924997489	7.224999899665515	27.161654342427624	711.8641446509168	20.299999237060547	-6.300000190734863	26.59999942779541	15.116666555404663	0.38333334525426227	16.53333314259847	-0.9166667262713114	550	84	26	41.581809794424814	219	82	219	87
PA0892_1	P0082	49.2773	16.63	CSA	7.862499924997489	7.224999899665515	27.161654342427624	711.8641446509168	20.299999237060547	-6.300000190734863	26.59999942779541	15.116666555404663	0.38333334525426227	16.53333314259847	-0.9166667262713114	550	84	26	41.581809794424814	219	82	219	87
PA0900_1	P0084	49.4078	16.2766	CSA	7.375000054637591	8.066666533549627	28.70699843746176	725.9492269513102	20.5	-7.599999904632568	28.09999990463257	16.21666669845581	-0.21666669845581055	16.21666669845581	-1.5166666507720947	548	84	25	43.363887235129205	223	80	223	82
PA0901_1	P0084	49.4078	16.2766	CSA	7.375000054637591	8.066666533549627	28.70699843746176	725.9492269513102	20.5	-7.599999904632568	28.09999990463257	16.21666669845581	-0.21666669845581055	16.21666669845581	-1.5166666507720947	548	84	25	43.363887235129205	223	80	223	82
PA0918_1	P0087	49.9842	13.4172	CSA	7.237499917546908	7.858333180348079	28.472222258215368	717.1316723537774	20.299999237060547	-7.300000190734863	27.59999942779541	16.14999993642171	2.599999944368998	16.14999993642171	-1.3833333651224773	707	95	41	29.103730777705536	256	133	256	142
PA0919_1	P0087	49.9842	13.4172	CSA	7.237499917546908	7.858333180348079	28.472222258215368	717.1316723537774	20.299999237060547	-7.300000190734863	27.59999942779541	16.14999993642171	2.599999944368998	16.14999993642171	-1.3833333651224773	707	95	41	29.103730777705536	256	133	256	142
